"time","Are.N","Ace.N","Are.S","Ace.S","S","RelPrice_N","RelLabor_N","Labor.re_N","Price.re_N","Agg.demand.re.tech_N","Profits.re_N","Yre_N","sre_N","Labor.ce_N","Price.ce_N","Agg.demand.ce.tech_N","Profits.ce_N","Yce_N","sce_N","Y_N","RelPrice_S","RelLabor_S","Labor.re_S","Price.re_S","Agg.demand.re.tech_S","Profits.re_S","Yre_S","sre_S","Labor.ce_S","Price.ce_S","Agg.demand.ce.tech_S","Profits.ce_S","Yce_S","sce_S","Y_S","Delta.Temp","Gamma.re.t_N","Gamma.re.t_S","Gamma.ce.t_N","Gamma.ce.t_S","L_N","L_S","Consumption_N","Consumption_S","Utility.Consumer_N","Utility.Consumer_S","CO2.Concentration","Cost.S.Damage","policy.status","Policy.Start.Time","ce.tax_N","RD.subsidy_N","RD.subsidy.GF_N","Tec.subsidy_N","Tec.subsidy.GF_N","ce.tax_S","RD.subsidy_S","Tec.subsidy_S","dS.lag","Budget.function.N","Budget.function.S","Run.ID","Policy.Duration","Budget.N","Budget.S"
2012,171.911582717789,244.660827613389,42.6054530654611,73.3685576732358,2402.713,1.26672905530859,0.298656552012459,0.229973468774055,1.33318107894314,60.7273846998584,0.268536495142774,45.55074,0.347371853096846,0.770026531225945,1.05245954006981,203.335183141487,0.899148179851657,193.2,0.652628146903154,264.062567841346,1.43929564625833,0.155481146922629,0.538238628424943,1.48057258225758,41.1919869888924,0.182150966464882,27.82166,0.271034571718164,3.46176137157506,1.02867856656592,264.932358708355,1.17153089020835,257.5463,0.728965428281836,306.124345697248,0.959295235776013,0.25,0.25,0.25,0.25,1,4,235.306154203423,68.1968511127044,0.995741485314629,0.985306437219844,381.524,0.997949499956105,0,9.9,0,0,0,0,0,0,0,0,0,0,0,2575,125,259.954134104316,560.117136485716
2017,173.401072184445,248.699700303711,43.4635840048777,76.5249377695533,2388.16107329705,1.27332050812455,0.290838297689619,0.22530962879717,1.33853598523146,60.371450031346,0.266962552038612,45.1025976869097,0.342776706616535,0.77469037120283,1.05121685914175,207.57737378787,0.917907146889963,197.463893375287,0.657223293383465,267.948823819216,1.46084416876414,0.144109045086282,0.503829755407323,1.49983391276846,40.1014749881189,0.177328722397462,26.7372771389718,0.25861321099709,3.49617024459268,1.02668987208766,278.271741819599,1.23051764232627,271.037778188815,0.74138678900291,318.373216807718,1.08247810193826,0.25,0.25,0.25,0.25,1,4,238.769196905304,70.9255933743394,0.956907104399973,0.947357768921747,396.075926702949,0.997350264416636,0,9.9,0,0,0,0,0,0,0,0,-2.96668334193139,0,0,2575,125,259.954134104316,560.117136485716
2022,174.931309279265,252.765109947677,44.3119920194986,79.7163426109246,2372.86414008787,1.23594528953235,1.68306974081896,0.627292580290973,1.30852927088849,191.838647562058,2.54493149855826,131.945678745589,0.8900555186223,0.372707419709027,1.05872750353181,102.583261179564,0.453623180936033,96.8929784456873,0.1099444813777,261.570055772664,1.43142141139211,0.794649188350927,1.77115214161965,1.47357316914821,163.822276708634,1.44884421521116,100.056143885273,0.65212241993229,2.22884785838035,1.02944748305469,185.541055347632,0.820462546747229,180.233628622875,0.34787758006771,318.813447556902,1.20718103273551,0.25,0.25,0.25,0.25,1,4,229.507509910701,70.1919451739936,0.919373274276801,0.910210556596703,411.37285991213,0.996653972301364,1,9.9,0.3,2,0.5,0.1,0.05,0.3,0.5,0.05,-3.15891322469437,25.7350111323983,53.1538699033271,2575,125,259.954134104316,560.117136485716
2027,178.888547215324,253.430860385487,46.5062860374932,81.1519199253036,2367.56458476326,1.21970721242806,1.80077133559154,0.64295550040368,1.29577614180964,198.158820333143,2.62877491053947,137.63406544186,0.899423324036386,0.35704449959632,1.06236654879669,99.0369708662895,0.437941485170732,93.222975608998,0.100576675963614,263.580458868214,1.40248237540354,0.88208714654746,1.87469990040701,1.44804098316229,177.300352937937,1.56804432138312,110.197376662411,0.683109904119109,2.12530009959299,1.03248426401483,180.900853468629,0.799943574038278,175.209308048138,0.316890095880891,325.457070511851,1.24930474021307,0.25,0.25,0.25,0.25,1,4,231.215837206596,71.612239783544,0.883492397522308,0.874908249937813,416.672415236744,0.996397624739265,1,9.9,0.3,2,0.5,0.1,0.05,0.3,0.5,0.05,-1.03487951712798,24.4432135973398,51.5554330364031,2575,125,259.954134104316,560.117136485716
2032,182.976917133872,254.040577278873,48.8365707320806,82.4439200020486,2362.71813932839,1.20331567458364,1.9297077861601,0.658669030159257,1.28308949175734,204.61423616199,2.71441245692496,143.522968373447,0.908247248586998,0.341330969840743,1.06629500376225,95.4304137997156,0.421993289822342,89.4971968010772,0.0917527514130017,265.677600935494,1.37172500317343,0.98794625611764,1.98787316926173,1.42126123325786,191.999502051425,1.6980435961428,121.581837175834,0.715978683235124,2.01212683073827,1.03611236214973,174.907846227727,0.773442496019008,168.811658481545,0.284021316764876,331.847075951178,1.28736049521517,0.25,0.25,0.25,0.25,1,4,233.002738554664,72.9727164308946,0.849012767560347,0.840956355612795,421.518860671615,0.996156606400486,1,9.9,0.3,2,0.5,0.1,0.05,0.3,0.5,0.05,-0.939866799671106,23.1213186157883,49.5324574929066,2575,125,259.954134104316,560.117136485716
2037,187.198705399829,254.597372990826,51.3103076902098,83.5880425025394,2358.39597781857,1.18680467889897,2.0709035457864,0.674362940714271,1.27050978496082,211.194383678374,2.80170469387732,149.605258897238,0.916509355734375,0.325637059285729,1.07052980793731,91.7835819525621,0.405866999394229,85.7365962834886,0.0834906442656246,267.874062964164,1.33936676191202,1.11615100743111,2.10977572680137,1.39352743719012,207.889937840867,1.83857861026463,134.264269983839,0.74975697379024,1.89022427319863,1.04043752377488,167.630493375091,0.741262041704651,161.115386118429,0.25024302620976,338.052017740552,1.32093210530051,0.25,0.25,0.25,0.25,1,4,234.879762506955,74.2894606952835,0.815879771883644,0.808307929226563,425.841022181433,0.995936447337188,1,9.9,0.3,2,0.5,0.1,0.05,0.3,0.5,0.05,-0.830894045013946,21.7757592541499,47.1059372843078,2575,125,259.954134104316,560.117136485716
2042,191.556103330068,255.104504481691,53.9313233442835,84.5845197791139,2354.66264456272,1.17020744650848,2.22546840218271,0.689967510044963,1.25807595063538,217.889150824389,2.89051747483635,155.87312963332,0.924202564245843,0.310032489955037,1.07508797212757,88.1163873410281,0.389650664822026,81.9620250858617,0.0757974357541572,270.182398960256,1.30572404426066,1.27113331446905,2.23876477240829,1.36522494989671,224.875240928175,1.98879663076878,148.244959082142,0.783254394390446,1.76123522759171,1.04556928081212,159.218324727721,0.704063431945984,152.279076718907,0.216745605609554,344.167600242081,1.34965695564094,0.25,0.25,0.25,0.25,1,4,236.858395854042,75.5849527355385,0.784040903050183,0.776917692680312,429.57435543728,0.995742387086046,1,9.9,0.3,2,0.5,0.1,0.05,0.3,0.5,0.05,-0.709545763832578,20.4134468553938,44.3222077292242,2575,125,259.954134104316,560.117136485716
2047,196.051240773302,255.565301058208,56.6992148207377,85.4385860833539,2351.57187532085,1.15355595160975,2.39460549401437,0.705414958597317,1.24582485440671,224.689171446635,2.98072654841107,162.31836568895,0.931329687734508,0.294585041402683,1.07998649971699,84.4482545485875,0.373430181613854,78.1938057287914,0.0686703122654921,272.614991584544,1.27119338253441,1.45775083549447,2.37249572160343,1.33680506635431,242.794342274234,2.14727316307333,163.460562460866,0.815239456510714,1.62750427839657,1.05161424274337,149.898667677793,0.662851908471202,142.541496287411,0.184760543489286,350.312207003254,1.37324955804979,0.25,0.25,0.25,0.25,1,4,238.949925893664,76.8869845548695,0.753445676382417,0.746741744040454,432.665124679146,0.995579032737995,1,9.9,0.3,2,0.5,0.1,0.05,0.3,0.5,0.05,-0.578205858823603,19.0416267707968,41.2519333344349,2575,125,259.954134104316,560.117136485716
2052,200.68622007697,255.983098765281,59.6094557673601,86.1601313417186,2349.16303375751,1.13688054126883,2.57962024586256,0.720640757589906,1.2337908622408,231.586134208129,3.07222165640504,168.932618295432,0.937902134347918,0.279359242410094,1.08524230774836,80.7977535149261,0.357287666043003,74.4513487338726,0.0620978656520819,275.183925859114,1.23621534218837,1.68119138988898,2.50812589691121,1.30874287381904,261.43799176185,2.3121575991418,179.786417403026,0.84465352417959,1.49187410308879,1.05866901109824,139.956815149525,0.618889036591201,132.200729106387,0.15534647582041,356.617376140286,1.3915202712597,0.25,0.25,0.25,0.25,1,4,241.165320486073,78.2263704169092,0.724045551811701,0.717737196861586,435.073966242492,0.99545004565676,1,9.9,0.3,2,0.5,0.1,0.05,0.3,0.5,0.05,-0.439954389301138,17.6676360170859,37.9839060150002,2575,125,259.954134104316,560.117136485716
2057,205.463149095752,256.3611830091,62.6542357586077,86.7625529339906,2347.45893399724,1.12020964364623,2.78193028795336,0.735584761256622,1.22200550048287,238.573041467104,3.1649099681026,175.707668447933,0.94393840416288,0.264415238743378,1.09087214827512,77.1822853542308,0.341300065836408,70.7528242207585,0.0560615958371202,277.900883974904,1.20122922955966,1.94690026593289,2.64264154228724,1.2814885854167,280.576781194544,2.48142105288455,197.051386917331,0.870780081772354,1.35735845771276,1.06681435473099,129.703153003624,0.573547342582025,121.579872288398,0.129219918227646,363.215211132424,1.40438462861395,0.25,0.25,0.25,0.25,1,4,243.515128884061,79.633931574561,0.695793859752223,0.689861850734616,436.778066002764,0.995357917307459,1,9.9,0.3,2,0.5,0.1,0.05,0.3,0.5,0.05,-0.298161700853077,16.298589369132,34.6147542274363,2575,125,259.954134104316,560.117136485716
