"time","Are.N","Ace.N","Are.S","Ace.S","S","RelPrice_N","RelLabor_N","Labor.re_N","Price.re_N","Agg.demand.re.tech_N","Profits.re_N","Yre_N","sre_N","Labor.ce_N","Price.ce_N","Agg.demand.ce.tech_N","Profits.ce_N","Yce_N","sce_N","Y_N","RelPrice_S","RelLabor_S","Labor.re_S","Price.re_S","Agg.demand.re.tech_S","Profits.re_S","Yre_S","sre_S","Labor.ce_S","Price.ce_S","Agg.demand.ce.tech_S","Profits.ce_S","Yce_S","sce_S","Y_S","Delta.Temp","Gamma.re.t_N","Gamma.re.t_S","Gamma.ce.t_N","Gamma.ce.t_S","L_N","L_S","Consumption_N","Consumption_S","Utility.Consumer_N","Utility.Consumer_S","CO2.Concentration","Cost.S.Damage","policy.status","Policy.Start.Time","ce.tax_N","RD.subsidy_N","RD.subsidy.GF_N","Tec.subsidy_N","Tec.subsidy.GF_N","ce.tax_S","RD.subsidy_S","Tec.subsidy_S","dS.lag","Budget.function.N","Budget.function.S","Run.ID","Policy.Duration","Budget.N","Budget.S"
2012,171.911582717789,244.660827613389,42.6054530654611,73.3685576732358,2402.713,1.26672905530859,0.298656552012459,0.229973468774055,1.33318107894314,60.7273846998584,0.268536495142774,45.55074,0.347371853096846,0.770026531225945,1.05245954006981,203.335183141487,0.899148179851657,193.2,0.652628146903154,264.062567841346,1.43929564625833,0.155481146922629,0.538238628424943,1.48057258225758,41.1919869888924,0.182150966464882,27.82166,0.271034571718164,3.46176137157506,1.02867856656592,264.932358708355,1.17153089020835,257.5463,0.728965428281836,306.124345697248,0.959295235776013,0.25,0.25,0.25,0.25,1,4,235.306154203423,68.1968511127044,0.995741485314629,0.985306437219844,381.524,0.997949499956105,0,9.9,0,0,0,0,0,0,0,0,0,0,0,3175,125,332.46892652321,964.861055156945
2017,173.401072184445,248.699700303711,43.4635840048777,76.5249377695533,2388.16107329705,1.27332050812455,0.290838297689619,0.22530962879717,1.33853598523146,60.371450031346,0.266962552038612,45.1025976869097,0.342776706616535,0.77469037120283,1.05121685914175,207.57737378787,0.917907146889963,197.463893375287,0.657223293383465,267.948823819216,1.46084416876414,0.144109045086282,0.503829755407323,1.49983391276846,40.1014749881189,0.177328722397462,26.7372771389718,0.25861321099709,3.49617024459268,1.02668987208766,278.271741819599,1.23051764232627,271.037778188815,0.74138678900291,318.373216807718,1.08247810193826,0.25,0.25,0.25,0.25,1,4,238.769196905304,70.9255933743394,0.956907104399973,0.947357768921747,396.075926702949,0.997350264416636,0,9.9,0,0,0,0,0,0,0,0,-2.96668334193139,0,0,3175,125,332.46892652321,964.861055156945
2022,174.93101039888,252.765542384615,44.3039651176752,79.7269791918816,2372.85581068199,1.23594812107038,1.6830500330466,0.627289842648032,1.30853151029191,191.837972582988,2.54492254428592,131.944988689017,0.890054278779723,0.372710157351968,1.0587268898946,102.58410144359,0.453626896583554,96.8938282599043,0.109945721220277,261.570283720207,1.45749746243964,0.724607475281193,1.68063164671845,1.49683246488486,146.762807953373,0.973477705154722,93.1464748571104,0.530617326181945,2.31936835328155,1.02698804180378,192.414061836167,0.85085498143953,187.357645857507,0.469382673818055,318.208584250848,1.20724766419225,0.25,0.25,0.25,0.25,1,4,229.507719858713,70.3180557826919,0.919373276361963,0.910234224047754,411.381189318008,0.996653575377491,1,9.9,0.3,2,0,0.1,0,0.3,0.5,0.05,-3.15891322469437,26.9894998821243,56.600602493159,3175,125,332.46892652321,964.861055156945
2027,178.88823625413,253.431301575754,46.0713187135758,81.7235363676485,2367.05528938842,1.2197100556192,1.8007498809505,0.642952765328468,1.29577835893212,198.158138978948,2.62876587169472,137.63335670155,0.899422170584259,0.357047234671532,1.06236589012485,99.0378102854113,0.437945197082089,93.2238235489396,0.100577829415741,263.580675764048,1.44352014836628,0.761189153282566,1.72880727061902,1.48433652596372,155.040101301579,1.02838099193338,99.2282367644844,0.543076853861692,2.27119272938098,1.02827558565333,193.497366063787,0.855645352734064,188.176563523917,0.456923146138308,326.516103695255,1.2533246380478,0.25,0.25,0.25,0.25,1,4,231.216036889159,72.1400933747917,0.883492304076729,0.874998932957634,417.181710611582,0.996372590773791,1,9.9,0.3,2,0,0.1,0,0.3,0.5,0.05,-1.15274682613677,25.8008903710128,56.862222803571,3175,125,332.46892652321,964.861055156945
2032,182.976594065517,254.041026405579,47.9133058400567,83.6474860579482,2361.39871839643,1.20331852341624,1.92968443593473,0.658666309676815,1.28309167982396,204.613550568804,2.71440336184576,143.522242726404,0.908246182949543,0.341333690323185,1.0662942976904,95.4312488003884,0.421996982195318,89.4980391502548,0.0917538170504574,265.677804865629,1.42819206781777,0.803875688455978,1.78255229803347,1.47070887079557,163.978396741354,1.0876687055854,105.92135533936,0.557432663870631,2.21744770196653,1.02976966749491,193.78553070002,0.85691961675549,188.18337422138,0.442567336129369,334.629550785335,1.29764522423043,0.25,0.25,0.25,0.25,1,4,233.002926214324,73.9172647717423,0.849012524558721,0.841105472663437,422.838281603566,0.996089915995883,1,9.9,0.3,2,0,0.1,0,0.3,0.5,0.05,-1.12131941982445,24.5915308331917,56.8802406045543,3175,125,332.46892652321,964.861055156945
2037,187.19837011098,254.597829570074,49.838842122873,85.4916285426852,2355.93135372335,1.18680752908964,2.07087812630638,0.67436024522315,1.27051193868825,211.193695589553,2.80169556569101,149.604517866114,0.9165083772125,0.32563975477685,1.07052905171811,91.7844095295046,0.405870658939469,85.7374299017838,0.0834916227874994,267.874252270902,1.41145511721469,0.853798627985926,1.84226833507487,1.45592414241838,173.644027381089,1.15178083361876,113.303860555553,0.573809090765205,2.15773166492513,1.03150580182205,193.209289175331,0.854371476733316,187.308000433974,0.426190909234795,342.544587017217,1.33992340797961,0.25,0.25,0.25,0.25,1,4,234.879936623437,75.6485652110557,0.815879325259089,0.808505500977397,428.305646276646,0.995808736728915,1,9.9,0.3,2,0,0.1,0,0.3,0.5,0.05,-1.08068322380349,23.3676264700872,56.6333680789698,3175,125,332.46892652321,964.861055156945
2042,191.555755711027,255.104968024248,51.8574991771688,87.2485976931471,2350.70096123603,1.17021029396957,2.22544072458083,0.689964849647033,1.25807806504285,217.888461839454,2.8905083347622,155.872374778929,0.924201670795575,0.310035150352967,1.07508716298778,88.1172046010997,0.389654278746063,81.9628469529973,0.075798329204425,270.182572025598,1.39326331956702,0.912327534751252,1.90830810762744,1.43997392170503,184.10204150326,1.22114884129112,121.45840753908,0.592288313940288,2.09169189237256,1.03352604025528,191.704111479857,0.847715580963926,185.485516584087,0.407711686059712,350.262265384433,1.37986702847947,0.25,0.25,0.25,0.25,1,4,236.858554950221,77.3342438311428,0.78404020166729,0.777152179684187,433.536038763971,0.995532566079677,1,9.9,0.3,2,0,0.1,0,0.3,0.5,0.05,-1.03035134605006,22.1353504743901,56.101748214208,3175,125,332.46892652321,964.861055156945
2047,196.050880734527,255.565771039243,53.9793323672986,88.9110740016527,2345.75745959875,1.15355879229531,2.3945753548978,0.705412343091112,1.24582692472648,224.688483020192,2.98071741574586,162.317598620346,0.93132887623172,0.294587656908888,1.0799856349303,84.4490587045248,0.373433737591409,78.1946129403611,0.0686711237682806,272.615146830679,1.37358893160687,0.981113283137122,1.98093322878238,1.42287295712673,195.412280617819,1.29616965733799,130.46960071671,0.612885946650305,2.01906677121762,1.03587974858112,189.215322815054,0.836710157488167,182.661475016023,0.387114053349695,357.790997038542,1.41717918945082,0.25,0.25,0.25,0.25,1,4,238.950068536858,78.9762627561757,0.753444675411166,0.747000198207593,438.479540401245,0.995265209614356,1,9.9,0.3,2,0,0.1,0,0.3,0.5,0.05,-0.969922305383861,20.900715087437,55.2685204241061,3175,125,332.46892652321,964.861055156945
2052,200.68584764849,255.983574464142,56.214596552056,90.4720897732485,2341.15227377312,1.13688337033659,2.57958743661251,0.720638197080518,1.23379288335025,231.585447807212,3.07221255061047,168.931840861755,0.937901401017631,0.279361802919482,1.0852413849496,80.7985416847101,0.357291151329788,74.4521383032792,0.0620985989823692,275.184061706006,1.35242967271736,1.06213259185758,2.06026052068903,1.40466613232401,207.624196189101,1.37717129332231,140.419834892231,0.635523091185906,1.93973947931097,1.03862415965903,185.704673683616,0.821186067028952,178.798723249978,0.364476908814094,365.148786541434,1.45156129293388,0.25,0.25,0.25,0.25,1,4,241.165445250336,80.5788181530737,0.724044216115491,0.718005781558174,443.084726226884,0.995010705977212,1,9.9,0.3,2,0,0.1,0,0.3,0.5,0.05,-0.899144470518522,19.6694552783855,54.1218312590612,3175,125,332.46892652321,964.861055156945
2057,205.46276421371,256.361663894386,58.5733372498416,91.9254291044136,2336.9373324981,1.12021245746561,2.78189457258506,0.73558226417812,1.22200746838962,238.572358107375,3.16490090265244,175.70688220064,0.943937744283594,0.26441773582188,1.09087116488091,77.1830551785126,0.341303469999383,70.7535936995259,0.0560622557164064,277.900999018978,1.32981646758618,1.15773008736889,2.14620001666772,1.38543538951785,220.770639012047,1.46437164856691,151.38353520364,0.65999923766348,1.85379998333228,1.04182450983828,181.158034458698,0.801080828376364,173.885364327644,0.34000076233652,372.365522402991,1.48271807126613,0.25,0.25,0.25,0.25,1,4,243.515234512145,82.1488724655067,0.695792166802302,0.690126680065116,447.299667501897,0.994773237371974,1,9.9,0.3,2,0,0.1,0,0.3,0.5,0.05,-0.817988611677293,18.4469296386628,52.6571903253333,3175,125,332.46892652321,964.861055156945
