"time","Are.N","Ace.N","Are.S","Ace.S","S","RelPrice_N","RelLabor_N","Labor.re_N","Price.re_N","Agg.demand.re.tech_N","Profits.re_N","Yre_N","sre_N","Labor.ce_N","Price.ce_N","Agg.demand.ce.tech_N","Profits.ce_N","Yce_N","sce_N","Y_N","RelPrice_S","RelLabor_S","Labor.re_S","Price.re_S","Agg.demand.re.tech_S","Profits.re_S","Yre_S","sre_S","Labor.ce_S","Price.ce_S","Agg.demand.ce.tech_S","Profits.ce_S","Yce_S","sce_S","Y_S","Delta.Temp","Gamma.re.t_N","Gamma.re.t_S","Gamma.ce.t_N","Gamma.ce.t_S","L_N","L_S","Consumption_N","Consumption_S","Utility.Consumer_N","Utility.Consumer_S","CO2.Concentration","Cost.S.Damage","policy.status","Policy.Start.Time","ce.tax_N","RD.subsidy_N","RD.subsidy.GF_N","Tec.subsidy_N","Tec.subsidy.GF_N","ce.tax_S","RD.subsidy_S","Tec.subsidy_S","dS.lag","Budget.function.N","Budget.function.S","Run.ID","Policy.Duration","Budget.N","Budget.S"
2012,171.911582717789,244.660827613389,42.6054530654611,73.3685576732358,2402.713,1.26672905530859,0.298656552012459,0.229973468774055,1.33318107894314,60.7273846998584,0.268536495142774,45.55074,0.347371853096846,0.770026531225945,1.05245954006981,203.335183141487,0.899148179851657,193.2,0.652628146903154,264.062567841346,1.43929564625833,0.155481146922629,0.538238628424943,1.48057258225758,41.1919869888924,0.182150966464882,27.82166,0.271034571718164,3.46176137157506,1.02867856656592,264.932358708355,1.17153089020835,257.5463,0.728965428281836,306.124345697248,0.959295235776013,0.25,0.25,0.25,0.25,1,4,235.306154203423,68.1968511127044,0.995741485314629,0.985306437219844,381.524,0.997949499956105,0,9.9,0,0,0,0,0,0,0,0,0,0,0,4975,125,313.65938971742,722.146780900821
2017,173.401072184445,248.699700303711,43.4635840048777,76.5249377695533,2388.16107329705,1.27332050812455,0.290838297689619,0.22530962879717,1.33853598523146,60.371450031346,0.266962552038612,45.1025976869097,0.342776706616535,0.77469037120283,1.05121685914175,207.57737378787,0.917907146889963,197.463893375287,0.657223293383465,267.948823819216,1.46084416876414,0.144109045086282,0.503829755407323,1.49983391276846,40.1014749881189,0.177328722397462,26.7372771389718,0.25861321099709,3.49617024459268,1.02668987208766,278.271741819599,1.23051764232627,271.037778188815,0.74138678900291,318.373216807718,1.08247810193826,0.25,0.25,0.25,0.25,1,4,238.769196905304,70.9255933743394,0.956907104399973,0.947357768921747,396.075926702949,0.997350264416636,0,9.9,0,0,0,0,0,0,0,0,-2.96668334193139,0,0,4975,125,313.65938971742,722.146780900821
2022,174.931497994357,252.764837259487,44.3093504545789,79.7198430616978,2372.85790091686,1.23594350284782,1.68308217645415,0.627294307727258,1.3085278578403,191.839073604139,2.54493715043251,131.946114260562,0.89005630109208,0.372705692272742,1.0587278907371,102.582731050879,0.453620836706988,96.8924422869974,0.10994369890792,261.56991212371,1.45729137395704,0.725131379260739,1.68133601412195,1.49664775460519,146.815120048074,1.29843292170517,93.1911758237755,0.610137355091467,2.31866398587805,1.02700652824238,192.343578053211,0.850543302151301,187.285643044926,0.389862644908533,318.184711886992,1.20723094339123,0.25,0.25,0.25,0.25,1,4,229.507377596779,70.3125824159404,0.91937327074517,0.910233199700742,411.379099083135,0.996653674985913,1,9.9,0.3,2,0.5,0.1,0,0.3,0.5,0.05,-3.15891322469437,26.6644588063334,56.2544486264491,4975,125,313.65938971742,722.146780900821
2027,178.888743546261,253.430582361039,46.3575794757294,81.3477788331088,2367.15193134968,1.21970541903731,1.80078486862536,0.642957225596978,1.29577474332515,198.159250314651,2.62878061467416,137.634512635685,0.899424051794953,0.357042774403022,1.06236696426902,99.0364414930507,0.43793914428227,93.2224408551653,0.100575948205047,263.580322333342,1.43310992817438,0.789875381643069,1.76520754404249,1.47507227743473,157.806550747064,1.39564113480703,101.633137238825,0.635609300979065,2.23479245595751,1.02928062142017,189.797310681921,0.839283707835454,184.398022008852,0.364390699020935,325.291175943407,1.25256221485642,0.25,0.25,0.25,0.25,1,4,231.215711495484,71.8592788584477,0.883492317040257,0.874950749561671,417.085068650323,0.996377346457886,1,9.9,0.3,2,0.5,0.1,0,0.3,0.5,0.05,-1.12267260296828,25.4515475185041,55.382115968355,4975,125,313.65938971742,722.146780900821
2032,182.977120948089,254.040294488525,48.5250192664933,82.8520335372809,2361.78774773225,1.20331387908988,1.92972250295264,0.658670744757506,1.28308811271834,204.614668481806,2.71441819207964,143.523425872507,0.908247920410967,0.341329255242494,1.06629544877252,95.4298876402463,0.421990963145169,89.4966660038754,0.0917520795890333,265.677472695939,1.40706734829732,0.867494305807341,1.8580925320301,1.45206535275724,169.844620961745,1.50210582778568,111.119234135899,0.663654267066918,2.1419074679699,1.03197999336305,185.998212130619,0.822484094041598,180.234319780252,0.336345732933082,332.115960757481,1.29461612688959,0.25,0.25,0.25,0.25,1,4,233.002620534248,73.3411690584306,0.849012592438452,0.8410147349795,422.449252267749,0.996109627019764,1,9.9,0.3,2,0.5,0.1,0,0.3,0.5,0.05,-1.05024130627271,24.2155739673075,54.1236067641562,4975,125,313.65938971742,722.146780900821
2037,187.198916797709,254.597085671671,50.8224398018213,84.2242562595034,2356.83365501604,1.1868028835951,2.0709195574298,0.674364638571989,1.27050842835472,211.194817325714,2.80171044664292,149.605725826853,0.916509972286256,0.325635361428011,1.07053028427607,91.783060771826,0.405864694733014,85.736071290961,0.0834900277137436,267.873944013099,1.37922306609348,0.960799979378059,1.96001629841472,1.42775372703197,182.973993902557,1.61822200207422,121.747393066715,0.693855370566061,2.03998370158528,1.0351869557083,180.917254307134,0.800016098546146,174.7677106145,0.306144629433939,338.687274968543,1.33298338422962,0.25,0.25,0.25,0.25,1,4,234.879653088277,74.764879509627,0.815879486142605,0.808377458389473,427.403344983955,0.99585567323317,1,9.9,0.3,2,0.5,0.1,0,0.3,0.5,0.05,-0.964116730397721,22.9626442059236,52.4697718943036,4975,125,313.65938971742,722.146780900821
2042,191.556322435755,255.104212891437,53.2589474622771,85.4584976868503,2352.35719034788,1.17020565353603,2.22548583026241,0.689969185225457,1.25807461925116,217.889584907933,2.89052323338864,155.87360512357,0.924203127021787,0.310030814774543,1.07508848162681,88.1158728357382,0.389648389679634,81.9615076727474,0.0757968729782129,270.182290294963,1.34971409016009,1.07310018741011,2.07052258048506,1.40234401635054,197.199958802636,1.74403643565051,133.590587386708,0.725528192634879,1.92947741951494,1.03899338872887,174.578257520058,0.771985054753697,168.026341085424,0.274471807365121,345.054927709849,1.36727106445566,0.25,0.25,0.25,0.25,1,4,236.858295946678,76.1420699880768,0.784040493833987,0.776992970293005,431.879809652118,0.995620768131029,1,9.9,0.3,2,0.5,0.1,0,0.3,0.5,0.05,-0.864618061614619,21.6989196732357,50.4277052625119,4975,125,313.65938971742,722.146780900821
2047,196.051467562047,255.565005674614,55.8409802249166,86.5522064318981,2348.42201656137,1.15355416425254,2.39462445775629,0.70541660426822,1.24582355176657,224.689604891974,2.98073229849693,162.3188485368,0.93133019853997,0.29458339573178,1.07998704384533,84.447748684674,0.373427944683628,78.1932979343852,0.06866980146003,272.614894255716,1.31876257451532,1.208190934013,2.1885624388781,1.37612563359486,212.477373924549,1.87914989498871,146.682468737261,0.757746193186555,1.8114375611219,1.04349763952061,167.070865660169,0.738787367949269,160.106606218029,0.242253806813445,351.292597431857,1.39712043754485,0.25,0.25,0.25,0.25,1,4,238.949836451219,77.4899485352703,0.753445135334246,0.746816992154632,435.814983438634,0.995410073323014,1,9.9,0.3,2,0.5,0.1,0,0.3,0.5,0.05,-0.7527251637808,20.4305124687168,48.0247454495373,4975,125,313.65938971742,722.146780900821
2052,200.686454659053,255.982799800021,58.5714944221299,87.5069446807276,2345.08435298875,1.1368787612988,2.57964088877752,0.720642368586445,1.23378959061907,231.586566371328,3.07222738948204,168.933107653805,0.937902595938179,0.279357631413555,1.08524288835298,80.7972577272058,0.357285473669704,74.4508520574853,0.0620974040618206,275.183840746015,1.28667082711157,1.37031421882802,2.31246002398038,1.34946010672402,228.706032926646,2.02267615520325,161.005671970374,0.789438495974875,1.68753997601962,1.04879980045355,158.555408894565,0.701132018131765,151.177954864215,0.210561504025125,357.496729675719,1.4222270425683,0.25,0.25,0.25,0.25,1,4,241.165242301685,78.8309896653474,0.724044876137262,0.717806745661166,439.15264701125,0.995228336241315,1,9.9,0.3,2,0.5,0.1,0,0.3,0.5,0.05,-0.630147753079948,19.1633789785891,45.3099802414822,4975,125,313.65938971742,722.146780900821
2057,205.463391552729,256.360880738682,61.4495928017417,88.3285809610302,2342.38948619187,1.12020787302421,2.78195276246209,0.735586332561967,1.22200426216297,238.573471785179,3.16491567670218,175.708163428668,0.943938819586426,0.264413667438033,1.09087276709094,77.1818010369927,0.341297924185582,70.7523401127846,0.0560611804135742,277.900811943387,1.25380181220881,1.56408984740336,2.43999226312183,1.32275579207345,245.735981522981,2.17328902058924,176.486985614249,0.819546900291569,1.56000773687817,1.05499591657406,149.255608835001,0.660008302268372,141.475058329785,0.180453099708431,363.781268648102,1.44235955527456,0.25,0.25,0.25,0.25,1,4,243.515062733052,80.1916711145296,0.695793052723586,0.68992070812969,441.847513808134,0.995079591019748,1,9.9,0.3,2,0.5,0.1,0,0.3,0.5,0.05,-0.499273520201475,17.9032091637418,42.3520057208129,4975,125,313.65938971742,722.146780900821
