"Run.ID","Future.ID","time","S","Delta.Temp","CO2.Concentration","alfa","epsilon","size.factor","Eta.re","Eta.ce","Gamma.re","Gamma.ce","Nu.re","Nu.ce","k.re","k.ce","lambda.S","sigma.utility","Climate.Model","Beta.Delta.Temp","CO2.base","CO2.Disaster","Delta.Temp.Disaster","qsi","Delta.S","S.0","policy.name","Cost.S.Damage","policy.status","Policy.Duration","Policy.Start.Time","ce.tax_N","RD.subsidy_N","RD.subsidy.GF_N","Tec.subsidy_N","Tec.subsidy.GF_N","ce.tax_S","RD.subsidy_S","Tec.subsidy_S","dS.lag","rho","Region","Ace","Agg.demand.ce.tech","Agg.demand.re.tech","Are","Consumption","Gamma.ce.t","Gamma.re.t","L","Labor.ce","Labor.re","Price.ce","Price.re","Profits.ce","Profits.re","RelLabor","RelPrice","Utility.Consumer","Y","Yce","Yce.0","Yre","Yre.0","labor.growth","sce","sre"
175,175,2012,2402.713,0.959295235776013,381.524,0.33,6.111111111,4,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0.1443,2,"GFDL-ESM2M",3.290828914,285.0510445,2784.237474,6,0.010007156,0.00070503,2402.71314,"FWA",0.997949499956105,0,295,9.9,0,0,0,0,0,0,0,0,0,0.008,"N",244.660827613389,203.335183141487,60.7273846998584,171.911582717789,235.306154203423,0.25,0.25,1,0.770026531225945,0.229973468774055,1.05245954006981,1.33318107894314,0.899148179851657,0.268536495142774,0.298656552012459,1.26672905530859,0.995741485314629,264.062567841346,193.2,193.2,45.55074,45.55074,0,0.652628146903154,0.347371853096846
175,175,2012,2402.713,0.959295235776013,381.524,0.33,6.111111111,4,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0.1443,2,"GFDL-ESM2M",3.290828914,285.0510445,2784.237474,6,0.010007156,0.00070503,2402.71314,"FWA",0.997949499956105,0,295,9.9,0,0,0,0,0,0,0,0,0,0.008,"S",73.3685576732358,264.932358708355,41.1919869888924,42.6054530654611,68.1968511127044,0.25,0.25,4,3.46176137157506,0.538238628424943,1.02867856656592,1.48057258225758,1.17153089020835,0.182150966464882,0.155481146922629,1.43929564625833,0.985306437219844,306.124345697248,257.5463,257.54634,27.82166,27.82166,0,0.728965428281836,0.271034571718164
175,175,2017,2388.16107329705,1.08247810193826,396.075926702949,0.33,6.111111111,4,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0.1443,2,"GFDL-ESM2M",3.290828914,285.0510445,2784.237474,6,0.010007156,0.00070503,2402.71314,"FWA",0.997350264416636,0,295,9.9,0,0,0,0,0,0,0,0,-2.96668334193139,0.008,"N",248.699700303711,207.57737378787,60.371450031346,173.401072184445,238.769196905304,0.25,0.25,1,0.77469037120283,0.22530962879717,1.05121685914175,1.33853598523146,0.917907146889963,0.266962552038612,0.290838297689619,1.27332050812455,0.956907104399973,267.948823819216,197.463893375287,193.2,45.1025976869097,45.55074,0,0.657223293383465,0.342776706616535
175,175,2017,2388.16107329705,1.08247810193826,396.075926702949,0.33,6.111111111,4,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0.1443,2,"GFDL-ESM2M",3.290828914,285.0510445,2784.237474,6,0.010007156,0.00070503,2402.71314,"FWA",0.997350264416636,0,295,9.9,0,0,0,0,0,0,0,0,-2.96668334193139,0.008,"S",76.5249377695533,278.271741819599,40.1014749881189,43.4635840048777,70.9255933743394,0.25,0.25,4,3.49617024459268,0.503829755407323,1.02668987208766,1.49983391276846,1.23051764232627,0.177328722397462,0.144109045086282,1.46084416876414,0.947357768921747,318.373216807718,271.037778188815,257.54634,26.7372771389718,27.82166,0,0.74138678900291,0.25861321099709
175,175,2022,2372.65661739644,1.20884071805005,411.580382603555,0.33,6.111111111,4,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0.1443,2,"GFDL-ESM2M",3.290828914,285.0510445,2784.237474,6,0.010007156,0.00070503,2402.71314,"FWA",0.996644077507483,1,295,9.9,0,0,0,0,0,0,0,0,-3.15886103598954,0.008,"N",252.834601700551,211.940596892542,59.9790566417669,174.883124563447,242.307603264422,0.25,0.25,1,0.77942360597264,0.22057639402736,1.04996480024164,1.34410781160109,0.937201319458821,0.265227388469893,0.282999375868406,1.28014559277774,0.919586491436771,271.919653534309,201.854954417297,193.2,44.623694709668,45.55074,0,0.661945014369215,0.338054985630785
175,175,2022,2372.65661739644,1.20884071805005,411.580382603555,0.33,6.111111111,4,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0.1443,2,"GFDL-ESM2M",3.290828914,285.0510445,2784.237474,6,0.010007156,0.00070503,2402.71314,"FWA",0.996644077507483,1,295,9.9,0,0,0,0,0,0,0,0,-3.15886103598954,0.008,"S",79.7512668465461,291.94198968343,38.9436573887728,44.285608769954,73.7130500265099,0.25,0.25,4,3.52921913980421,0.470780860195787,1.02480168923651,1.51987567203047,1.29096747838013,0.172208852973153,0.133395190705529,1.48309247339629,0.910840949933857,330.885647072203,284.876569535058,257.54634,25.6229230491901,27.82166,0,0.753758381614605,0.246241618385395
175,175,2027,2356.17191088398,1.33807460005464,428.065089116025,0.33,6.111111111,4,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0.1443,2,"GFDL-ESM2M",3.290828914,285.0510445,2784.237474,6,0.010007156,0.00070503,2402.71314,"FWA",0.995821270633754,1,295,9.9,0,0,0,0,0,0,0,0,-3.35659077054875,0.008,"N",257.068991818522,216.428840569439,59.5495852319937,176.356747711492,245.924375231657,0.25,0.25,1,0.78422376655326,0.21577623344674,1.04870428845258,1.34990636396488,0.95704833299806,0.263328265895876,0.275146256272106,1.28721354420772,0.883720663034084,275.978425801433,206.377377257407,193.2,44.1138636142788,45.55074,0,0.666793962629325,0.333206037370675
175,175,2027,2356.17191088398,1.33807460005464,428.065089116025,0.33,6.111111111,4,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0.1443,2,"GFDL-ESM2M",3.290828914,285.0510445,2784.237474,6,0.010007156,0.00070503,2402.71314,"FWA",0.995821270633754,1,295,9.9,0,0,0,0,0,0,0,0,-3.35659077054875,0.008,"S",83.0483130348852,305.938101770053,37.7301698017274,45.0715412990894,76.5606991994033,0.25,0.25,4,3.56085361468876,0.439146385311242,1.02301401547355,1.54070188951096,1.35285828602717,0.166842810863239,0.123326155138682,1.50604181976702,0.87570529582527,343.66827157178,299.055630854123,257.54634,24.4889488736225,27.82166,0,0.766027677861529,0.233972322138471
175,175,2032,2338.67985625543,1.46987311130838,445.557143744571,0.33,6.111111111,4,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0.1443,2,"GFDL-ESM2M",3.290828914,285.0510445,2784.237474,6,0.010007156,0.00070503,2402.71314,"FWA",0.994871931711561,1,295,9.9,0,0,0,0,0,0,0,0,-3.55967857318726,0.008,"N",261.406400801567,221.046076877127,59.082551630914,177.820947532606,249.622620863515,0.25,0.25,1,0.789087777477131,0.210912222522869,1.04743638479321,1.35594153815196,0.977465751950655,0.261263043311901,0.26728613538686,1.29453354670284,0.849252932990436,280.128628508041,211.03532404096,193.2,43.5730818538377,45.55074,0,0.671770280196724,0.328229719803276
175,175,2032,2338.67985625543,1.46987311130838,445.557143744571,0.33,6.111111111,4,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0.1443,2,"GFDL-ESM2M",3.290828914,285.0510445,2784.237474,6,0.010007156,0.00070503,2402.71314,"FWA",0.994871931711561,1,295,9.9,0,0,0,0,0,0,0,0,-3.55967857318726,0.008,"S",86.4166735772007,320.254433838163,36.4724834897603,45.8215408503552,79.469839007728,0.25,0.25,4,3.59103188777613,0.40896811222387,1.02132624191715,1.5623133873727,1.41616510643236,0.16128132199172,0.113885959524892,1.52969083065961,0.841901449919529,356.726917327923,313.567223375176,257.54634,23.3451775965992,27.82166,0,0.778144122601699,0.221855877398302
